Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Descripcio_tipus_vehicle,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud_WGS84,Latitud_WGS84
2024S000001,9,Sant Andreu,57,la Trinitat Vella,701268,Dalt (Llobregat),K165,Dilluns,2024,1,Gener,1,2,Nit,,Turisme,KUGA,FORD,negre,,,432839.501,4589349.921,2.19480599,41.45107592
2024S000001,9,Sant Andreu,57,la Trinitat Vella,701268,Dalt (Llobregat),K165,Dilluns,2024,1,Gener,1,2,Nit,,Turisme,KUGA,FORD,negre,B,20,432839.501,4589349.921,2.19480599,41.45107592
2024S000002,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,423-425,Dilluns,2024,1,Gener,1,3,Nit,,Ciclomotor,ES2,ASKOLL,blanc,,,429284.086,4583117.055,2.15297294,41.39463342
2024S000002,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,423-425,Dilluns,2024,1,Gener,1,3,Nit,,Ciclomotor,ES2,ASKOLL,blanc,B,9,429284.086,4583117.055,2.15297294,41.39463342
2024S000002,2,Eixample,8,l'Antiga Esquerra de l'Eixample,144601,Diagonal,423-425,Dilluns,2024,1,Gener,1,3,Nit,,Turisme,TOYOTA COROLLA,TOYOTA,blanc,B,8,429284.086,4583117.055,2.15297294,41.39463342
2024S000003,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,1,4,Nit,,Taxi,TOYOTA PRIUS PLUS,TOYOTA,negre/groc,,,429834.070,4581818.313,2.15970168,41.38298427
2024S000003,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,1,4,Nit,,Taxi,TOYOTA PRIUS PLUS,TOYOTA,negre/groc,B,36,429834.070,4581818.313,2.15970168,41.38298427
2024S000003,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,1,4,Nit,,Turisme,SEAT ATECA,BERGADANA,blanc,,,429834.070,4581818.313,2.15970168,41.38298427
2024S000003,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,,Dilluns,2024,1,Gener,1,4,Nit,,Turisme,SEAT ATECA,BERGADANA,blanc,B,11,429834.070,4581818.313,2.15970168,41.38298427
2024S000004,1,Ciutat Vella,2,el Barri Gòtic,701498,B-10 (Besòs),K108,Dilluns,2024,1,Gener,1,5,Nit,,Furgoneta,PARTNER 1.6,PEUGEOT,gris,,,431394.300,4580979.914,2.17845490,41.37556768
2024S000004,1,Ciutat Vella,2,el Barri Gòtic,701498,B-10 (Besòs),K108,Dilluns,2024,1,Gener,1,5,Nit,,Furgoneta,PARTNER 1.6,PEUGEOT,gris,B,0,431394.300,4580979.914,2.17845490,41.37556768
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,,Furgoneta,PARTNER FURGÓN CONFORT,PEUGEOT,blanc,,,427952.005,4582061.234,2.13716598,41.38500574
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,,Taxi,FIAT TIPO,FIAT,negre/groc,,,427952.005,4582061.234,2.13716598,41.38500574
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,,Taxi,FIAT TIPO,FIAT,negre/groc,B,19,427952.005,4582061.234,2.13716598,41.38500574
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,,Tot terreny,FREELANDER 2,LAND ROVER,gris,,,427952.005,4582061.234,2.13716598,41.38500574
2024S000005,4,Les Corts,19,les Corts,231502,Numància,,Dilluns,2024,1,Gener,1,7,Matí,,Turisme,RS 3 SPORTBACK,AUDI,gris,,,427952.005,4582061.234,2.13716598,41.38500574
2024S000006,8,Nou Barris,50,les Roquetes,700652,Torre Baró,0,Dilluns,2024,1,Gener,1,2,Nit,,Turisme,A3,AUDI,blanc,,,431486.276,4589432.351,2.17859692,41.45170389
2024S000006,8,Nou Barris,50,les Roquetes,700652,Torre Baró,0,Dilluns,2024,1,Gener,1,2,Nit,,Turisme,A3,AUDI,blanc,B,29,431486.276,4589432.351,2.17859692,41.45170389
